X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,P,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,C,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,P,X,X,_,X
X,_,_,_,T,_,_,_,_,_,_,_,X,X,X,X,_,X,X,X,X,C,_,X,X,P,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,P,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,C,X,P,X,X,_,X
X,_,X,X,X,X,X,X,X,P,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,P,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,P,X,X,X,X,_,_,_,_,_,_,_,_,T,_,_,T,_,_,_,_,_,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,C,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,P,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,C,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,_,_,_,_,_,_,_,_,_,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,P,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,P,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,P,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,R,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,P,X,X,X,X,X,_,_,_,_,_,_,_,_,_,_,_,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,_,_,_,_,_,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,C,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
